Date,Open,High,Low,Close,Adj Close,Volume
2021-06-25,3.730000,3.820000,3.675000,3.730000,3.730000,158700
2021-06-28,3.730000,3.840000,3.670000,3.750000,3.750000,71100
2021-06-29,3.770000,3.840000,3.650000,3.710000,3.710000,127000
2021-06-30,3.720000,3.720000,3.410000,3.530000,3.530000,72700
2021-07-01,3.510000,3.720000,3.510000,3.650000,3.650000,15200
2021-07-02,3.643000,3.680000,3.460000,3.470000,3.470000,25600
2021-07-06,3.470000,3.600000,3.470000,3.550000,3.550000,21000
2021-07-07,3.510000,3.740000,3.510000,3.580000,3.580000,73100
2021-07-08,3.530000,3.590000,3.320000,3.410000,3.410000,30600
2021-07-09,3.470000,3.470000,3.345000,3.360000,3.360000,20500
2021-07-12,3.430000,3.430000,3.300000,3.350000,3.350000,29300
2021-07-13,3.310000,3.430000,3.290000,3.340000,3.340000,10300
2021-07-14,3.330000,3.330000,3.110000,3.150000,3.150000,28700
2021-07-15,3.080000,3.550000,3.060000,3.310000,3.310000,110100
2021-07-16,3.310000,3.400000,3.240000,3.270000,3.270000,9100
2021-07-19,3.020000,3.260000,3.020000,3.220000,3.220000,46900
2021-07-20,3.180000,3.460000,3.140000,3.280000,3.280000,34000
2021-07-21,3.300000,3.330000,3.225000,3.270000,3.270000,19200
2021-07-22,3.220000,3.300000,3.200000,3.240000,3.240000,12300
2021-07-23,3.250000,3.390000,3.130000,3.200000,3.200000,14200
2021-07-26,3.190000,3.388000,3.150000,3.289000,3.289000,11700
2021-07-27,3.300000,3.300000,3.110000,3.210000,3.210000,13700
2021-07-28,3.210000,3.270000,3.140000,3.160000,3.160000,10700
2021-07-29,3.260000,3.300000,3.170000,3.300000,3.300000,28000
2021-07-30,3.343000,3.343000,3.190000,3.260000,3.260000,12400
2021-08-02,3.195000,3.210000,3.150000,3.180000,3.180000,5600
2021-08-03,3.220000,3.300000,3.164000,3.190000,3.190000,22600
2021-08-04,3.190000,3.205000,3.144000,3.190000,3.190000,12600
2021-08-05,3.240000,3.240000,3.139000,3.190000,3.190000,12300
2021-08-06,3.190000,3.190000,3.110000,3.110000,3.110000,6300
2021-08-09,3.120000,3.140000,3.050000,3.120000,3.120000,13800
2021-08-10,3.070000,3.180000,3.060000,3.180000,3.180000,20300
2021-08-11,3.180000,3.180000,3.080000,3.110000,3.110000,9400
2021-08-12,3.070000,3.170000,3.060000,3.170000,3.170000,6800
2021-08-13,3.090000,3.155000,2.900000,2.970000,2.970000,26400
2021-08-16,3.040000,3.095000,2.850000,3.030000,3.030000,37700
2021-08-17,3.080000,3.080000,2.870000,2.900000,2.900000,57500
2021-08-18,2.860000,2.970000,2.708000,2.800000,2.800000,50600
2021-08-19,2.800000,2.800000,2.500000,2.540000,2.540000,52000
2021-08-20,2.740000,2.740000,2.600000,2.680000,2.680000,12200
2021-08-23,2.780000,3.037000,2.780000,2.970000,2.970000,23300
2021-08-24,2.990000,2.990000,2.811000,2.910000,2.910000,5600
2021-08-25,2.950000,3.150000,2.850000,2.980000,2.980000,37500
2021-08-26,3.130000,3.130000,2.870000,2.870000,2.870000,23700
2021-08-27,2.940000,3.000000,2.905000,2.980000,2.980000,11800
2021-08-30,2.980000,3.120000,2.850000,2.850000,2.850000,10000
2021-08-31,2.940000,2.940000,2.760000,2.820000,2.820000,9400
2021-09-01,2.800000,2.850000,2.670000,2.750000,2.750000,41300
2021-09-02,2.820000,2.820000,2.697000,2.810000,2.810000,6800
2021-09-03,2.830000,2.900000,2.750000,2.850000,2.850000,30300
2021-09-07,2.870000,3.000000,2.850000,3.000000,3.000000,16000
2021-09-08,3.000000,3.000000,2.817000,2.850000,2.850000,9300
2021-09-09,2.850000,3.000000,2.850000,2.860000,2.860000,14400
2021-09-10,3.000000,3.000000,2.790000,2.825000,2.825000,14400
2021-09-13,3.000000,3.000000,2.788000,2.800000,2.800000,15700
2021-09-14,2.788000,2.900000,2.720000,2.880000,2.880000,53100
2021-09-15,2.730000,2.860000,2.727000,2.790000,2.790000,10100
2021-09-16,2.750000,2.750000,2.625000,2.680000,2.680000,30800
2021-09-17,2.680000,2.750000,2.600000,2.720000,2.720000,24400
2021-09-20,2.590000,2.710000,2.550000,2.590000,2.590000,26100
2021-09-21,2.635000,2.750000,2.560000,2.710000,2.710000,42800
2021-09-22,2.544000,2.700000,2.544000,2.610000,2.610000,11600
2021-09-23,2.630000,2.705000,2.550000,2.590000,2.590000,14800
2021-09-24,2.580000,2.797000,2.500000,2.650000,2.650000,13900
